Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
House Flipper VR ;House Flipper VR v95+9.5 -FFA;com.oculus.HouseFlipperVR;95;2022-05-10 15:45 UTC;150
Crisis Brigade 2 reloaded ;Crisis Brigade 2 reloaded v88+1.94 -FFA;com.sumalab.CrisisVRigade2;88;2022-10-29 07:23 UTC;4172
Fast Formula ;Fast Formula v1+1.0 -unknown;com.FastFormula.FastFormula;1;2021-06-05 07:59 UTC;365
Zombie World VR ;Zombie World VR v4+1.0 -unknown;com.Appalga.ZombieWorldVR;4;2021-06-05 13:24 UTC;119
Fantasy Hunter ;Fantasy Hunter v1+1.0 -FFA;com.revolt.studios.fantasy.hunter;1;2022-03-19 22:48 UTC;150
KOTC VR Basketball ;KOTC VR Basketball v1+0.1 -unknown;com.millennialdave.kotcvrbball;1;2021-06-05 08:47 UTC;129
The Wizards ;The Wizards v14+1.11 -QU;com.CarbonStudio.TheWizards;14;2021-06-05 12:08 UTC;3434
NYStory ;NYStory v20+2.0 -FFA;com.AiitoneNYStory;20;2022-09-08 17:48 UTC;917
MageVR ;MageVR v5+1.6.0 -VRP;com.dengxianxr.magevr16;5;2021-07-08 14:17 UTC;859
Face Your Fears ;Face Your Fears v99999999+1.2 -Unknown (ALL DLC);com.sling;99999999;2022-01-08 13:12 UTC;448
Moss ;Moss v22600+1.0.0.22600 -Q2Patched-90Hz-CustomRes -QU;com.polyarc.MossGame;22600;2021-06-05 09:09 UTC;2621
Ironlights ;Ironlights v158+158 -FFA;com.emcneill.Ironlights;158;2022-04-23 21:05 UTC;650
Crisis VRigade ;Crisis VRigade v11+1.24 -FFA;com.sumalab.CrisisVRigade;11;2021-10-24 23:02 UTC;1044
Dr. Zaney's Insane Labs ;Dr. Zaney's Insane Labs v2+1.1 -QU;com.GearWorxProductions.Dr.ZaneysInsaneLabs;2;2021-06-05 07:24 UTC;587
Insomnia ;Insomnia v52+2.04 -FFA;com.PrologicFibrum.Insomnia;52;2022-08-03 20:11 UTC;305
Waifu's Spooky Space Station ;Waifu's Spooky Space Station v11+1.0b -QU;com.MiraiMadaGames.WSS;11;2021-06-05 12:57 UTC;241
Dance Dance Maker ;Dance Dance Maker v9+0.9 -unknown;com.novia.vr.ddm;9;2021-06-05 07:05 UTC;677
colony-code-red ;colony-code-red v1+1.1.0 -FFA;com.thedeepvr.colonyred_Original_1_1_0_2bca12ca_Default;1;2022-11-12 12:49 UTC;1704
Figmin XR ;Figmin XR v157+1.34.0.0 -FFA;com.overlay.figmin.prod;157;2022-11-13 10:30 UTC;388
BoomXR ;BoomXR v47+1.0 -FFA;com.Yolopia.BoomXR;47;2021-11-23 06:22 UTC;116
Time Stall ;Time Stall v631960+1.0 -QU (b);com.forcefieldxr.timestall;631960;2021-06-05 12:13 UTC;1677
Smash Drums ;Smash Drums v213+3.0.0 -FFA;com.PotamWorks.SmashDrums;213;2022-11-20 11:32 UTC;1416
Pixel Ripped 1995 ;Pixel Ripped 1995 v108+108 -FFA;io.arvore.pixelripped1995;108;2021-11-14 19:59 UTC;2127
Rhythm 'n' Bullets ;Rhythm 'n' Bullets v31+1.21 -FFA;com.db.groovebullet;31;2021-11-23 06:38 UTC;730
MarineVerse Cup ;MarineVerse Cup v4089+0.4089 -FFA;com.marineverse.cup;4089;2022-11-21 22:33 UTC;1151
Luna ;Luna v8+8 -QU;com.funomena.luna;8;2021-06-05 09:03 UTC;702
Sport Mode ;Sport Mode v83+0.6.0 -FFA;com.Exo.Playground2;83;2022-11-27 04:34 UTC;686
Whack-Whack ;Whack-Whack v3+0.3 -ITCH;com.SmileApps.WhackWhack;3;2021-10-12 09:05 UTC;55
Red Matter ;Red Matter v32+1.0.009 -Q2Patched-90Hz -QU;com.VerticalRobot.RedMatter;32;2021-06-05 10:16 UTC;1357
Song in the Smoke ;Song in the Smoke v74+1.5.3 -FFA;com.seventeenbit.songinthesmoke;74;2022-01-12 00:23 UTC;1822
RC Airplane Challenge ;RC Airplane Challenge v5+1.04 -FFA;com.StrangeGamesStudios.RCAirplaneChallenge;5;2022-01-25 04:46 UTC;1418
Squid Seastar ;Squid Seastar v1+0.1 -unknown;com.VictoryXR.SquidDissection;1;2021-06-05 11:08 UTC;942
Medal of Honor - Above and Beyond ;Medal of Honor - Above and Beyond v12297+0.518 -FFA;com.Virtuos.R6DLM;12297;2021-11-16 00:04 UTC;41857
NFL PRO ERA ;NFL PRO ERA v2405+1.2.1 -FFA;com.StatusPro.NFLProEra22;2405;2022-11-24 00:32 UTC;1965
Can You Do It ;Can You Do It v6+1.15 -QU;com.tgs.vr.canyoudoit;6;2021-06-21 11:21 UTC;146
Dissection Simulator - Shark Edition ;Dissection Simulator - Shark Edition v100+1.0 -QU;com.VictoryXR.DogfishDissection;100;2021-10-10 04:17 UTC;1180
Marvel's Iron Man VR ;Marvel's Iron Man VR v250068+0.1.0-250068 -FFA;com.camouflaj.salmon;250068;2022-11-04 04:40 UTC;9186
Mythic Mage ;Mythic Mage v16+2.1.3 -FFA;com.AndyGrutter.MythicMage;16;2022-04-26 08:49 UTC;208
Cloudlands 2 ;Cloudlands 2 v35+1.31 -QU;com.Futuretown.Cloudlands2;35;2021-06-05 05:57 UTC;293
Ultrawings ;Ultrawings v440+2.06 -FFA;com.BitPlanet.Ultrawings.Quest;440;2022-08-13 05:42 UTC;698
Keep Talking and Nobody Explodes ;Keep Talking and Nobody Explodes v59+1.9.22 -FFA;com.steelcrategames.keeptalkingandnobodyexplodes;59;2021-10-27 05:01 UTC;138
VR Battle of Battleship ;VR Battle of Battleship v3+1.2 -QU;hit.nullcityrts.ovrbatleofbattleship;3;2021-06-10 21:57 UTC;113
The Purge Day ;The Purge Day v90+1.0 -unknown;com.RedLimbStudio.ThePurageDay;90;2021-06-05 11:44 UTC;196
Futbolin Revolution ;Futbolin Revolution v1+0.1 -unknown;com.Pixelfun.FutbolinRevolution;1;2021-06-05 08:11 UTC;342
Hitstream ;Hitstream v652+1.04bQuest -FFA;com.And7Limited.Hitstream;652;2022-02-04 22:43 UTC;1348
Humpty Dumpty Pooh ;Humpty Dumpty Pooh v2+0.2 -ITCH;com.fairview.wholalo;2;2021-10-12 08:05 UTC;49
Beat Saber ;Beat Saber v439+1.26.0 -FFA (Multi-Install - ALL DLC);com.beatgames.beatpaber;439;2022-11-24 08:45 UTC;2801
Epiviosis ;Epiviosis v4+1 -FFA;com.KMEntertainment.Epiviosis;4;2021-10-12 09:14 UTC;325
SpaceTeam ;SpaceTeam v5005+1.1.5005 -FFA;com.CooperativeInnovations.Spaceteam;5005;2022-06-01 03:47 UTC;564
Toy Clash ;Toy Clash v42+1.4.0r6 -unknown;com.fiveminlab.toyclash;42;2021-06-05 12:21 UTC;118
GrooVR ;GrooVR v3+1.1 -FFA;com.InfinityDreamsLabs.GrooVR;3;2021-10-30 05:04 UTC;607
Escape Room Bank Robbery Gone Wrong ;Escape Room Bank Robbery Gone Wrong v78+1.4.0 -FFA;com.Vasil4N.EscapeRoomBankRobberyGoneWrong;78;2022-10-17 14:32 UTC;285
Directive Nine ;Directive Nine v5+0.2.3 -QU;com.rooftoppanda.directivenine;5;2021-06-05 07:15 UTC;116
Quake2Quest ;Quake2Quest v20+1.0.9 -DrBeef;com.drbeef.quake2quest;20;2022-02-01 03:33 UTC;597
Chunky Orbits ;Chunky Orbits v1+0.94 -VRP;com.BrainBlinks.ChunkyOrbitsQuest;1;2021-09-26 22:17 UTC;85
Forklift Simulator ;Forklift Simulator v10+1.0.10 -VRP;com.Chalkbites.ForkliftSimulatorQuest;10;2021-08-16 22:02 UTC;684
ColourConnectVR ;ColourConnectVR v60+2.0.36 -FFA;com.DevMattSanders.ColourConnectVR;60;2022-11-26 10:35 UTC;763
2MD VR Football Unleashed ;2MD VR Football Unleashed v300017+1.75.1 -FFA;com.truantpixel.twomdquest;300017;2022-10-18 14:31 UTC;2018
AirRacer ;AirRacer v28+1.5 -FFA;com.KAMPAI.AirRacer;28;2022-11-20 13:43 UTC;184
ZOSU ZOO ;ZOSU ZOO v13+1.03 -FFA;com.ZOSUStudiosLLC.ZOSUZOO;13;2022-09-01 15:20 UTC;580
Shadowgate VR - The Mines of Mythrok ;Shadowgate VR - The Mines of Mythrok v62+1.062 -FFA;com.Zojoi.ShadowgateVR;62;2022-07-16 07:42 UTC;1193
ProjectZ ;ProjectZ v45+1.1.0 -QU;com.slindev.projectz;45;2021-06-05 09:57 UTC;208
Grid Ball ;Grid Ball v10+1.55 -FFA;jp.co.superappli.gridball;10;2022-06-28 10:29 UTC;99
Cirque du Soleil ;Cirque du Soleil v1001019+1.01.19 -FFA;com.felixandpaul.quest.cds_portal;1001019;2022-08-31 23:42 UTC;68
Cyber Cycle ;Cyber Cycle v1+0.1 -unknown;com.syntheon.cc2;1;2021-06-05 06:58 UTC;160
Flowborne - Breathing Meditation ;Flowborne - Breathing Meditation v132+0.91 -VRP;com.br.flowborne;132;2021-09-09 00:02 UTC;232
Shuttle Commander ;Shuttle Commander v64+0.64 -QU (b);com.ivre.ssc;64;2021-06-05 10:53 UTC;978
ClashOfChefsVR ;ClashOfChefsVR v38+1.1.5 -FFA;com.flathillgames.clashofchefsvr;38;2022-04-23 21:00 UTC;832
Tetris Effect ;Tetris Effect v126+1.3.3 -FFA;com.enhanceexperience.tetriseffect;126;2022-11-10 12:34 UTC;2082
Into The Radius ;Into The Radius v105362+2.4.4 -FFA;com.CMGames.IntoTheRadius;105362;2022-10-28 11:33 UTC;4084
Big Breezy Boat ;Big Breezy Boat v189+1.0.189 -QU;com.marineverse.morequest;189;2021-06-05 13:50 UTC;613
Terragon Symbol Of Magic ;Terragon Symbol Of Magic v6+1.0.0 -FFA;com.RealityShiftStudios.TerragonSymbolOfMagic;6;2021-12-19 11:59 UTC;2431
1976 Back to Midway ;1976 Back to Midway v12+1.2 -VRP;com.IvanovichGames.game1976;12;2021-09-18 09:36 UTC;738
ChalkBites - Defibrillator Simulator ;ChalkBites - Defibrillator Simulator v2+1.0.2 -NODRM;com.ChalkBites.DefibrillatorQuest;2;2021-10-12 06:31 UTC;370
Demeo ;Demeo v123180967+1.23.180967 -FFA;com.resolutiongames.demeo;123180967;2022-10-28 18:33 UTC;1108
Fighting Clans ;Fighting Clans v1+0.3.7 -VRP;com.xocus.fightingclans;1;2021-10-01 00:26 UTC;546
Secret of Harrow Manor 2 ;Secret of Harrow Manor 2 v32+0.32 -QU;com.OnlyHuman.SoHM2vr;32;2021-07-11 15:33 UTC;1395
DrakaVR ;DrakaVR v1+1 -unknown;com.Questeroid.DrakaVR;1;2021-06-05 07:25 UTC;55
BattleGroupVR ;BattleGroupVR v29+29 -FFA;com.SpaceOwlGames.BattleGroupVR;29;2022-09-09 10:42 UTC;893
PaintingVr ;PaintingVr v101+.88 -FFA;com.Oisoi.PaintingVr;101;2022-10-26 23:32 UTC;323
Quest Treks ;Quest Treks v26+1.26 -FFA;com.GreenerGames.QuestTreks;26;2022-07-25 21:54 UTC;830
BOW MAN ;BOW MAN v224+1.4.0-224 -QU;com.dmm.bowman;224;2021-06-05 13:43 UTC;91
The Wizards - Dark Times ;The Wizards - Dark Times v13+1.13 -QU;com.CarbonStudio.DarkTimes;13;2021-07-01 10:18 UTC;4278
Pass Thru Hot Sauce ;Pass Thru Hot Sauce v1+0.6 -FFA;com.metaxrdev.pths;1;2022-08-13 14:05 UTC;141
Audioshield ;Audioshield v136+136 -FFA;com.Audiosurf.Audioshield;136;2022-09-01 12:57 UTC;282
Until You Fall ;Until You Fall v183083+1.3.1.183083 (Release_1.3.1) -FFA;com.schellgames.untilyoufall;183083;2022-03-22 14:45 UTC;754
Lies Beneath ;Lies Beneath v55578+1.0-55578 -FFA;com.Drifter.Kodiak;55578;2021-10-15 02:46 UTC;1690
Green Hell VR ;Green Hell VR v213+1.3.0 -FFA;com.Incuvo.GreenHellVR;213;2022-11-26 10:35 UTC;2769
CPR Simulator ;CPR Simulator v2+1.02 -QU;com.AATEVR.SundSim.CPR;2;2021-06-21 11:22 UTC;116
PePiBo - Peregrino Pinata Bowling ;PePiBo - Peregrino Pinata Bowling v2+2 -QU;com.toritogames.pepibo;2;2021-06-05 09:43 UTC;382
Hyperstacks ;Hyperstacks v13+Alpha 0.7.2 -VRP;com.SquirrelBytes.Hyperstacks;13;2021-08-29 11:18 UTC;151
A Fishermans Tale ;A Fishermans Tale v16+1.064 -QU;com.innerspacevr.afishermanstale;16;2021-06-05 13:30 UTC;2086
Cosmodread ;Cosmodread v10025+1.0.0.25 -FFA;com.WhiteDoorGames.Cosmodread;10025;2022-10-09 11:49 UTC;713
Pigeons ;Pigeons v19+9 -VRP;com.mekiwi.vrpigeons;19;2021-08-08 22:50 UTC;52
Cosmic Sugar ;Cosmic Sugar v7+3 -FFA;com.LightClinic.CosmicSugar;7;2021-10-31 10:50 UTC;215
The Walking Dead - Saints and Sinners - SINNER MODE -FFA;The Walking Dead - Saints and Sinners - SINNER MODE -FFA;com.SDI.TWD;21897700;2022-07-24 05:42 UTC;6804
Resilience ;Resilience v20+1.0.8042 -QU;com.scale1.resilience;20;2021-06-05 10:20 UTC;110
OhShape ;OhShape v1977+1.9.77 -FFA;com.odders.ohshape;1977;2022-08-23 20:43 UTC;480
Discovery ;Discovery v22+2.7.1.0 -VRP;com.noowanda.discovery;22;2021-09-26 22:42 UTC;63
QuestZDoom Pack - Unofficial ;QuestZDoom Pack - Unofficial v31+1.4.0 -emawind84;com.drbeef.questzdoom;31;2022-05-01 15:53 UTC;142
Ashtar UFO ;Ashtar UFO v1+1.0 -unknown;com.test.mj12;1;2021-06-05 13:39 UTC;439
Dissection Simulator - Pig Edition ;Dissection Simulator - Pig Edition v2+1.0 -FFA;com.VictoryXR.PigDissection;2;2021-11-01 04:31 UTC;60
Tennis Academy ;Tennis Academy v32+1.0.1T -FFA;com.SenseArena.TennisAcademy;32;2022-11-24 00:04 UTC;378
My Town Zombie ;My Town Zombie v6+1.0 -FFA;com.yjmgames.mytownzombie;6;2022-08-16 07:12 UTC;720
HauntedRide ;HauntedRide v31+.4 -QU;com.NetzerlandStudios.HauntedRide;31;2021-10-10 04:24 UTC;12965
VR Superstar ;VR Superstar v18+0.1.27 -FFA;com.ArtisLook.VRSuperstar;18;2021-12-04 06:46 UTC;610
DiscGolfVR ;DiscGolfVR v1+0.1 -unknown;com.AlexV.DiscGolfVR;1;2021-06-05 07:16 UTC;127
PunchVrx ;PunchVrx v8+1.0.8 -FFA;com.skippy.boxing.punchvrx;8;2022-11-23 23:57 UTC;54
The Thrill Of The Fight ;The Thrill Of The Fight v220526100+220526.1 -FFA;com.fyian.TheThrillOfTheFight;220526100;2022-06-01 06:44 UTC;552
Warhammer Age of Sigmar Tempestfall ;Warhammer Age of Sigmar Tempestfall v25+1.2 -FFA;com.CarbonStudio.Tempestfall;25;2022-06-13 17:51 UTC;7371
Dogfish Dessection ;Dogfish Dessection v1+1.0 -unknown;com.VictoryXR.DogfishDissection;1;2021-06-05 07:20 UTC;1221
Down the Rabbit Hole ;Down the Rabbit Hole v430+01.03 -QU;com.CortopiaStudios.DTRH;430;2021-06-05 07:23 UTC;639
Creed ;Creed v299994+1 -FFA;com.survios.Creed;299994;2022-06-14 07:45 UTC;1380
Racket Fury Table Tennis VR ;Racket Fury Table Tennis VR v712+7.1.2 -FFA;com.RacketFury.RF_GearVR;712;2021-10-15 03:03 UTC;362
Zong ;Zong v15+1.21 -FFA;com.BeijingUni.Zong;15;2022-07-15 18:04 UTC;367
In Death - Unchained ;In Death - Unchained v89210641+1.6.3 -FFA;com.Solfar.InDeath;89210641;2022-11-24 06:32 UTC;2073
MorelsHomesteadV1 ;MorelsHomesteadV1 v72+2.03 -FFA;com.AbramsStudios.Morels.Homestead;72;2022-09-28 07:42 UTC;1622
Z Show ;Z Show v21+1.07 -FFA;com.CendaGames.ZShow;21;2022-07-10 16:43 UTC;272
Daedalus ;Daedalus v3+1.0.002 -VRP;com.VerticalRobot.DaedalusQuest;3;2021-09-03 15:11 UTC;854
Falcon Age ;Falcon Age v31+1.01 -VRP;com.OuterloopGames.FalconAge;31;2021-08-27 20:50 UTC;1161
Unplugged ;Unplugged v394+1.5.394 -FFA;com.Anotherway.UnpluggedVR;394;2022-10-09 11:57 UTC;1391
Omega Pilot ;Omega Pilot v46+1.0.4 -FFA;com.xocus.omegapilot;46;2022-11-24 14:32 UTC;3581
Shores of Loci ;Shores of Loci v3016+1.0 -FFA;com.miketeevee.shoresofloci;3016;2022-11-19 19:33 UTC;1530
Pinball FX2 VR ;Pinball FX2 VR v15+1.0.0 -FFA;com.zenstudios.PinballFX2VRQuest;15;2021-10-21 09:10 UTC;509
Tarzan VR ;Tarzan VR v1229+1.0 -QU;com.funtrain.tarzanvr;1229;2021-07-05 19:49 UTC;732
DAVID ;DAVID v14+2021.11.05_R14 -FFA;com.twoguys.david;14;2021-12-19 04:18 UTC;450
ClimbForYourLife ;ClimbForYourLife v12+1.2 -FFA;com.bandn.climb;12;2022-07-30 11:20 UTC;300
Pickup Basketball VR ;Pickup Basketball VR v944+1.0 -FFA;com.ColliderGames.PickUpBasketballVRQL;944;2021-10-15 18:57 UTC;442
Drums Rock ;Drums Rock v79+1.049 -FFA;com.garage.drumsrock;79;2022-10-09 14:31 UTC;802
The Premium Cube ;The Premium Cube v1+0.2 -QU;com.LostError.ThePremiumCube;1;2021-06-10 21:59 UTC;56
DroneLight ;DroneLight v1+0.1 -unknown;com.dronelight.map1;1;2021-06-05 07:26 UTC;575
Windlands ;Windlands v43+1.4.3 -FFA;com.psytecgames.windlands.quest.applab;43;2021-11-04 08:20 UTC;782
Big Ballers Basketball VR ;Big Ballers Basketball VR v2135+2022.10.25 -FFA;com.dogelabs.bigballersbasketball;2135;2022-10-31 03:31 UTC;532
Loco Dojo Unleashed ;Loco Dojo Unleashed v88+88 -FFA;com.makereal.LocoDojoQuest;88;2022-09-16 16:42 UTC;1018
Pigasus ;Pigasus v88+4.0.5 -FFA;com.hanginghatstudios.pigasus;88;2022-10-18 12:31 UTC;91
Arcaxer ;Arcaxer v208+1.43.42 -FFA;com.Overrungames.Arcaxer;208;2022-11-21 10:31 UTC;1053
Metal Frog Solid Road to Revenge ;Metal Frog Solid Road to Revenge v78+1.12 -FFA;com.PerryGamesLLC.MetalFrogSolid;78;2022-05-27 22:27 UTC;972
Resident Evil 4 VR ;Resident Evil 4 VR v201+2.1 -FFA;com.Armature.VR4;201;2022-05-11 05:00 UTC;8181
Operation Warcade ;Operation Warcade v15+1.0 -FFA;com.ivanovichgames.operationwarcade;15;2021-10-15 03:00 UTC;730
FirstTasteVR ;FirstTasteVR v200002+2 -FFA;com.sprinkler.FirstTasteVR;200002;2022-02-26 05:10 UTC;1683
Trover Saves the Universe ;Trover Saves the Universe v21+1.0 -QU;com.SquanchGames.Trover;21;2021-06-05 12:27 UTC;3362
Pipe Dream Co. ;Pipe Dream Co. v17+1.11.65 -FFA;com.FieldOfVision.PipeDreamCo;17;2022-11-21 10:32 UTC;249
Wander ;Wander v3443+0.3443 -FFA;com.parkline.wander;3443;2022-05-30 21:41 UTC;379
Madrid Noir ;Madrid Noir v120+1.1.2 -ITCH;com.noghost.madridnoirvr;120;2021-10-09 06:39 UTC;663
Basket VR ;Basket VR v2+0.2 -unknown;com.realdragon.basketlittle;2;2021-06-05 13:46 UTC;75
Range Day VR ;Range Day VR v14+1.18 -QU;com.InvidiousStudios.RangedayVRQ;14;2021-06-05 10:10 UTC;2399
.Q1 - Quest App Launcher and Keymapper ;.Q1 - Quest App Launcher and Keymapper v2+0.11.1 -FFA - Copy - Copy;aaa.QuestAppLauncher.App;1;2021-04-22 03:02 UTC;214
Car Parking Simulator ;Car Parking Simulator v12+1.7.2 -FFA;com.sloppy.carparkingsimulator;12;2022-08-14 11:41 UTC;570
CakeMouse ;CakeMouse v6+0.24 -FFA;com.StudioHORANG.CakeMouseQuest;6;2022-11-12 15:31 UTC;55
Song Beater ;Song Beater v431+4.3.1 -VRP;com.Playito.SongBeater;431;2021-08-08 17:37 UTC;715
RoboWreckersVR ;RoboWreckersVR v12+1.32 -QU;com.EdgarJLopez.RoboWreckersVR;12;2021-10-04 21:19 UTC;320
ArcheryLand2 VR VRmoo.cn ;ArcheryLand2 VR VRmoo.cn v12+1.0 -FFA;com.Looksten.ArcheryLand;12;2022-09-08 01:07 UTC;574
All-In-One Sports ;All-In-One Sports v37+0.9.3 -FFA;com.Appnori.AllInOneSports;37;2022-06-04 12:45 UTC;431
Vacation Simulator ;Vacation Simulator v85+1.3.0-38104 -FFA;com.owlchemylabs.vacationsimulator;85;2022-04-21 20:42 UTC;1411
Fail Factory ;Fail Factory v54+1.0 -QU;com.Armature.FailFactory;54;2021-06-05 07:57 UTC;561
Cleansheet ;Cleansheet v32+2022.4.0M -FFA;com.INCISIV.CS_Oculus;32;2022-11-22 20:31 UTC;256
Escape From Nefertitus Tomb ;Escape From Nefertitus Tomb v113+1.0 -FFA;com.WisEDRL.TER;113;2022-01-25 08:11 UTC;1009
Table of Tales The Crooked Crown ;Table of Tales The Crooked Crown v218+1.0.0.34 -FFA;com.zeroonestudio.tinmangames.ttcc;218;2022-07-21 13:30 UTC;936
InnerVR ;InnerVR v13+1.5 -FFA;com.innervr.innervr;13;2022-09-16 07:44 UTC;861
Crunchies ;Crunchies v3+1.02 -FFA;space.VROOM.Crunchies;3;2022-04-14 02:54 UTC;1910
Channel_Player ;Channel_Player v128+128 -QU;com.Applet_LLC.Channel_Player;128;2021-10-10 06:14 UTC;97
Stardust VR 6dof ;Stardust VR 6dof v15+1.3 -FFA;com.FrozenDreams.stardustvr6dof;15;2022-09-29 03:52 UTC;221
OceanCraft ;OceanCraft v107+v0.8.15 -FFA;com.FlodLab.OceanCraft;107;2022-09-30 11:40 UTC;153
SculptrVR ;SculptrVR v404+3.829 -FFA;com.sculptrvrinc.sculptrvrapp;404;2022-08-10 21:42 UTC;487
PecoPeco ;PecoPeco v10054+0.10.54 -FFA;am.benth.pecopeco;10054;2022-05-20 17:40 UTC;36
Minotaur ;Minotaur v9+9 -FFA;com.Frag.TreasureOfTarmin;9;2022-09-10 21:03 UTC;53
Space Walk VR Experience ;Space Walk VR Experience v700107+7.0.107.02 -QU;com.FTM.SpaceWalkQuest2OC;700107;2021-06-05 11:02 UTC;666
The Climb 2 ;The Climb 2 v974+2.2 -FFA;com.crytek.climb2;974;2022-02-23 09:44 UTC;4399
Bionic Hunter ;Bionic Hunter v6+2.5 -FFA;com.AnomosStudios.BionicHunter;6;2021-11-07 06:32 UTC;1324
Homestar VR ;Homestar VR v64+1.32 -QU;com.pocket.homestarvr;64;2021-06-05 08:36 UTC;199
MarsExtraction ;MarsExtraction v25+1.8.7 -FFA;net.demonixis.marsExtraction.REG;25;2022-08-15 06:15 UTC;54
Job Simulator ;Job Simulator v40+1.4.0.4681 -VRP;com.owlchemylabs.jobsimulator;40;2021-08-19 23:17 UTC;923
Captain Hardcore(18+) ;Captain Hardcore(18+) v1+0.4 -VRP;com.AntiZeroGames.CH;1;2021-06-05 05:28 UTC;1927
Cursed Night - The House ;Cursed Night - The House v35+3.5 -FFA;com.VRPIRATES.CursedNightTheHouse;35;2022-06-07 17:17 UTC;326
DrumbeatsVR ;DrumbeatsVR v12+1.25 -FFA;com.VRROOM.DrumbeatsVR;12;2022-07-22 12:42 UTC;906
Hockey VR ;Hockey VR v14+1.1.0 -FFA;ca.melcher.hockeyvr;14;2022-02-16 22:41 UTC;1225
DVR Simulator ;DVR Simulator v52+0.13.2 -FFA;net.demonixis.dvrsimulator;52;2021-10-21 10:01 UTC;414
Zookeeper - Blast Quest ;Zookeeper - Blast Quest v158+1.1.0 -FFA;jp.kiteretsu.vr.zookeeper.world;158;2022-05-23 14:41 UTC;552
Submarine ;Submarine v5+1.2 -FFA;com.extremesoft.submarinevr;5;2021-12-12 07:07 UTC;175
Rest In Pieces ;Rest In Pieces v37+1.35 -QU;com.StormingTech.RestInPiecesSQ;37;2021-06-05 10:21 UTC;837
Coaster Combat ;Coaster Combat v708443+1.0 -QU;com.forcefieldxr.coastercombatquest;708443;2021-06-05 05:57 UTC;1092
Modern Archery ;Modern Archery v1+0.1 -ITCH;com.oukaichimon.ArcheryVR2021;1;2021-10-12 08:19 UTC;142
Magic Guardian ;Magic Guardian v2+1.0 -ITCH;com.palvesoft.magicguardianquest2;2;2021-10-12 08:12 UTC;310
Cave Digger Riches ;Cave Digger Riches v87+2.12 -FFA;com.mekiwi.cavedigger;87;2022-09-23 10:41 UTC;684
Let's Play with Anna! ;Let's Play with Anna! v1+1.0 -unknown;com.vrjcc.AnnaU;1;2021-06-05 08:57 UTC;336
You, Calligrapher ;You, Calligrapher v1+1.0 -QU;com.nuodengren.YouCalligrapher;1;2021-06-10 22:08 UTC;202
Plush Madness ;Plush Madness v8+8 -FFA;com.RhineGames.PlushMadness;8;2022-06-23 15:14 UTC;231
SkyBinder ;SkyBinder v16+1.3.4 -FFA;com.MakuXR.SkyBinder;16;2022-06-21 12:41 UTC;68
A102 ;A102 v54+1.0.4 -FFA;red.chesco.a102;54;2021-10-15 18:23 UTC;1090
HereSphere VR Video Player ;HereSphere VR Video Player v1+0.7.3 -Unknown;net.heresphere.vrvideoplayer;1;2022-10-15 03:31 UTC;97
Arrows ;Arrows v2+1.2.7 -QU;com.aura.Arrows;2;2021-10-10 06:13 UTC;580
Star Wars Tales from the Galaxy's Edge ;Star Wars Tales from the Galaxy's Edge v340801+1.1.7+600115.cl.340801 -FFA;com.ilmxlab.tales;340801;2022-01-01 02:30 UTC;15033
Startenders ;Startenders v3916+2.0.5806_1b6d46930 -FFA;com.FoggyBox.Startenders;3916;2022-11-25 15:33 UTC;693
White Hole ;White Hole v11+1.12 -FFA;Fenrir.WhiteHole;11;2021-10-12 10:56 UTC;245
SKYBOX ;SKYBOX v465+1.1.0 -FFA;xyz.skybox.player.ovr;465;2021-12-06 07:32 UTC;134
Draw IT! ;Draw IT! v6+0.9 - QU;com.DrimEnt.DrawIT;6;2021-07-03 02:26 UTC;70
The Curious Tale of the Stolen Pets ;The Curious Tale of the Stolen Pets v27+1.08 -FFA;com.fasttravelgames.diorama;27;2022-01-15 23:44 UTC;470
Synthspace ;Synthspace v14+1.0.5 -VRP;Rocks.BrightLight.Synthspace;14;2021-09-09 09:00 UTC;183
Player 22 by Rezzil ;Player 22 by Rezzil v808+1.1.517 -FFA;com.Rezzil.Quest;808;2022-10-19 11:31 UTC;1731
National Geographic Explore VR ;National Geographic Explore VR v674692+1.2.1 -VRP;com.forcefieldxr.explorevr;674692;2021-06-05 09:24 UTC;3560
Wisdom ;Wisdom v22+22 -FFA;COM.RLH.MICROWISDOM;22;2021-10-12 11:00 UTC;353
Puzzling Places ;Puzzling Places v191+1.16 -FFA;com.RealitiesIO.puzzlingPlaces;191;2022-11-26 10:31 UTC;215
Spice and Wolf VR2 (VRmoo) ;Spice and Wolf VR2 (VRmoo) v5+1.0 -FFA;com.SpicyTails.SaW2ForQuest;5;2021-12-04 06:40 UTC;517
Stack Defense ;Stack Defense v12+0.9.5 -FFA;com.area1.StackDefense;12;2021-10-12 10:44 UTC;177
immerGallery ;immerGallery v32+1.0.6 -FFA;com.immerVR.immerGallery;32;2022-07-10 03:07 UTC;986
Star Chart ;Star Chart v18529+1.7.7 -VRP;com.escapistgames.starchartvr.quest;18529;2021-06-05 11:08 UTC;213
Fun House ;Fun House v2+1.1 -QU;com.fairview.funhouse;2;2021-06-05 08:11 UTC;108
TitanZero ;TitanZero v83+0.0 -FFA;com.MaochiGames.TitanZero;83;2021-10-12 10:53 UTC;630
CosmosCrash ;CosmosCrash v4+1.0.4 -FFA;com.supzero.vr.quest.CosmosCrash;4;2022-07-10 16:42 UTC;204
