Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
VR Blast ;VR Blast v100100022+1.1.22 -FFA;com.inperson.vrblast;100100022;2022-04-03 11:41 UTC;168
Art Studio VR ;Art Studio VR v70+0.2.961 -FFA;com.DanielyAna.ArtstudioVR;70;2021-12-15 23:51 UTC;120
Smashmania ;Smashmania v1+0.4 -unknown;ltd.getschwifty.smashmania.demo;1;2021-06-05 10:55 UTC;200
Range Day VR ;Range Day VR v27+1.42 -FFA;com.InvidiousStudios.RangedayVRQ;27;2022-10-29 07:58 UTC;2770
LuckyFishBread ;LuckyFishBread v18+0.1.2 -FFA;com.VisualLight.LuckyFishBread;18;2022-11-18 00:31 UTC;884
A Lullaby of Colors ;A Lullaby of Colors v1+1.2.2 -unknown;com.idumpling.a_lullaby_of_colors;1;2021-06-05 13:31 UTC;143
Percussive VR ;Percussive VR v2+1.4 -QU;games.jamhack.PercussiveVR.Oculus;2;2021-06-05 09:46 UTC;146
Supermedium ;Supermedium v1+3 -unknown;com.Supermedium.Supermedium;1;2021-06-05 11:22 UTC;75
Virtual Virtual Reality 2 ;Virtual Virtual Reality 2 v363+1.607 -FFA;com.TenderClaws.Scottsdale.Quest;363;2022-09-24 13:44 UTC;1597
Guardians ;Guardians v356+0.13.7 -FFA;com.VirtualAge.Guardians;356;2022-11-27 11:32 UTC;3137
Roll Or Die ;Roll Or Die v3+3.14159 -ITCH;com.signed.BrainSlugs83.RollOrDie;3;2021-10-12 08:40 UTC;99
Hyperbolica ;Hyperbolica v4+1.2.0 -FFA;com.CodeParade.Hyperbolica;4;2022-08-10 03:42 UTC;365
RealFit VR ;RealFit VR v111+2021.10.1633722683 -FFA;co.realfit.RealFit;111;2021-11-23 06:24 UTC;210
Box VR ;Box VR v188+1.18 -unknown;com.fitxr.boxvr;188;2021-06-05 05:15 UTC;1148
Warlike Space ;Warlike Space v4+1.4 -QU;com.EVR.WarlikeSpace;4;2021-06-05 13:06 UTC;805
Puzzle Cafe VR ;Puzzle Cafe VR v200012+12 -ITCH;com.DefaultCompany.PuzzleWaifu;200012;2021-10-12 08:39 UTC;65
FundamentalForce ;FundamentalForce v41+0.4 -FFA;com.TheRingRobotics.FundamentalForce_v2;41;2022-09-19 10:42 UTC;595
VR Sashimi Tanpopo ;VR Sashimi Tanpopo v70+1.1 -QU;com.framesynthesis.VRSashimiTanpopo;70;2021-06-21 11:37 UTC;83
I Expect You to Die ;I Expect You to Die v74681+1.1.174681 -FFA;com.schellgames.ieytdquest;74681;2021-11-12 21:00 UTC;517
Chess Club VR ;Chess Club VR v1505+1.5.05 -FFA;com.odders.livechess;1505;2022-10-09 11:48 UTC;593
Shoot The Zombirds VR ;Shoot The Zombirds VR v7+1.0.2 -FFA;pl.idreams.zombirds;7;2022-01-19 22:32 UTC;77
Las Vegas ;Las Vegas v2+1.0 -FFA;com.press360.Las_Vegas;2;2022-02-20 05:39 UTC;931
Bodyguard 2 ;Bodyguard 2 v1+1.5 -unknown;com.studio3DD.bodyguard2;1;2021-06-05 05:12 UTC;174
Blade and Sorcery - Nomad (With Mods) ;Blade and Sorcery - Nomad (With Mods) v103+0.11.2 -FFA;com.Warpfrog.BladeAndSorcery;103;2022-08-19 04:14 UTC;2326
Beat Saber ;Beat Saber v250+1.17.1 -FFA (with BMBF);com.beatgames.beatsaber;250;2021-10-12 16:35 UTC;1867
Robo Recall ;Robo Recall v47091+1.0 -Q2Patched-90Hz -QU;com.YourCompany.RoboRecall;47091;2021-06-05 10:26 UTC;3457
Dead Second ;Dead Second v132+0.64 -FFA;com.spunge.projectshooter;132;2022-10-27 11:31 UTC;1779
Squadron One ;Squadron One v1024+1.0.0 -VRMOO;com.unitedcommand.squadronone;1024;2021-09-18 09:09 UTC;221
Food Flinger ;Food Flinger v1+1.0 -Itch;com.DashingCape.FoodFlinger;1;2022-03-11 22:13 UTC;57
